title,rating,description,release_date,genre,casts,duration,country,production,m_link
Section 8,4.2,"After avenging the murder of his family, a former soldier is sprung from prison and recruited by a shadowy government agency.",2022-09-23,Thriller,"['Robert LaSardo', 'Dolph Lundgren', 'Ryan Kwanten', 'Scott Adkins', 'Mickey Rourke']",98,United States of America,['Firebrand'],https://cineb.net/movie/watch-section-eight-free-85215
NYC Point Gods,7.3,"An in-depth look at the legendary point guards of New York City who honed their craft and developed their legendary showmanship in the 1980s and ’90s. The documentary spotlights the ascent of Rafer Alston, Kenny Anderson, Mark Jackson, Stephon Marbury, God Shammgod, Kenny Smith, Rod Strickland and Dwayne “Pearl” Washington in the midst of a cultural renaissance.",2022-07-29,Documentary,"['Kenny Smith', 'Kenny Anderson']",83,United States of America,['Showtime Documentary Films'],https://cineb.net/movie/watch-nyc-point-gods-free-85212
It Snows All the Time,5.8,"When Paul is 58 and told he has Frontotemporal Dementia with early onset, his family gets closer than ever. He and his middle son Jesse learn a lot about each other as they work on Paul's old truck and finally take it on one last fishing trip together.",2022-07-29,Drama,"['Brett Cullen', 'John Beasley', 'Erich Hover', 'Sterling Knight']",90,United States of America,"['Camera and a Dream Productions', 'Present Day Productions']",https://cineb.to/movie/watch-it-snows-all-the-time-free-85209
Eradication,4,"When an unknown disease wipes out most of the world’s population, a man with unique blood is isolated for study. Fearing for his wife’s safety, he breaks his quarantine – into a world overrun by monstrous Infected and a shadowy agency hunting them down.",2022-07-15,Horror,"['Harry Aspinwall', 'Anita Abdinezhad', 'Christian Masters']",84,United States of America,"['Kinogo Pictures', 'Dakoit Pictures', 'Dark Tower Films']",https://cineb.net/movie/watch-eradication-free-85206
Andrew Schulz: Infamous,7.7,"Andrew Schulz delivers his latest comedy special INFAMOUS, a daring, raw performance filmed during his 10 month sold-out' ""Infamous Tour"" at The Paramount in Austin, TX. For Schulz nothing is off limits. There's only one rule at his shows - everyone gets these jokes.",2022-07-17,Comedy,['Andrew Schulz'],57,United States of America,['Comedy Dynamics'],https://cineb.net/movie/watch-andrew-schulz-infamous-free-85203
"Aliens, Abductions, and UFOs: Roswell at 75",5.3,"What actual knowledge does our government have concerning ""unidentified airborne phenomena""? The two-hour documentary special ALIENS, ABDUCTIONS AND UFOS: ROSWELL AT 75 airs on Tubi to commemorate the purported UFO crash that allegedly occurred outside of Roswell, New Mexico, 75 years ago. Through first-person interviews with eyewitnesses, abductees, and scientific experts leading the exploration today, we'll delve into the history of Americans' fascination with ""little green men,"" the truth behind Area 51's notorious secrecy, and evidence of alien existence in an effort to convince you that we are not alone.",2022-07-06,Documentary,[],87,United States of America,['Streetcar Entertainment'],https://cineb.to/movie/watch-aliens-abductions-and-ufos-roswell-at-75-free-85200
Honor Society,6.5,"Honor is an ambitious high school senior whose sole focus is getting into Harvard, assuming she can first score the coveted recommendation from her guidance counselor, Mr. Calvin. Willing to do whatever it takes, Honor concocts a Machiavellian-like plan to take down her top three student competitors, until things take a turn when she unexpectedly falls for her biggest competition, Michael.",2022-07-23,Comedy,"['Angourie Rice', 'Christopher Mintz-Plasse', 'Gaten Matarazzo', 'Armani Jackson', 'Michael P. Northey']",97,United States of America,"['Awesomeness Films', 'Guardian Pictures']",https://cineb.net/movie/watch-honor-society-free-85191
Not Okay,6,"An ambitious young woman, desperate for followers and fame, fakes a trip to Paris to up her social media presence. When a terrifying incident takes place in the real world and becomes part of her imaginary trip, her white lie becomes a moral quandary that offers her all the attention she’s wanted.",2022-07-29,Drama,"['Nadia Alexander', 'Zoey Deutch', ""Dylan O'Brien"", 'Mia Isaac', 'Negin Farsad']",100,United States of America,"['Makeready', 'Searchlight Pictures']",https://cineb.net/movie/watch-not-okay-free-85188
Alone Together,5.2,Strangers June and Charlie have to learn to coexist when they accidentally book the same Airbnb to get away from the pandemic. Alone Together is the ultimate New York lockdown love story.,2022-07-22,Drama,"['Katie Holmes', 'Melissa Leo', 'Jim Sturgess', 'Luke Kirby', 'Becky Ann Baker']",93,United States of America,"['The Forest Road Company', 'LB Entertainment', 'SSS Entertainment', 'Yale Productions', 'Lafayette Films']",https://cineb.net/movie/watch-alone-together-free-85185
Paradise Highway,5.4,"A truck driver has been forced to smuggle illicit cargo to save her brother from a deadly prison gang. With FBI operatives hot on her trail, Sally's conscience is challenged when the final package turns out to be a teenage girl.",2022-07-29,Drama,"['Cameron Monaghan', 'Juliette Binoche', 'Frank Grillo', 'Morgan Freeman', 'Veronica Ferres']",115,Germany,"['Grindstone Entertainment Group', 'ZDF', 'Silver Reel']",https://cineb.net/movie/watch-paradise-highway-free-85182
Punk in London,6.9,"A visual record of London punk life in the late '70s, filled with never-before-seen live concert footage and commentary from the Clash, the Jam, X-Ray Spex and the Electric Chairs.",1977-12-02,Music,"['Poly Styrene', 'Paul Weller', 'Paul Simonon', 'Kevin Rowland', 'Bob Geldof']",111,United Kingdom,"['Hochschule für Fernsehen und Film München', 'Hochschule für Fernsehen und Film (HFF)', 'HFF München', 'Stein Film']",https://cineb.net/movie/watch-punk-in-london-free-85164
Monster Run,5.1,"Some strange things have always existed, you think it is a coincidence, or make up a reason to make it reasonable, in fact, because you do not want to admit. At the end of the season, she was regarded as an outlier because she could see monsters, until one day she saw monsters again in the supermarket where she worked and magically met Monster Hunter-Brother Meng. She discovered that there really were monsters in the world, and the two young men were involved in a new storm.",2020-08-18,Adventure,"['Kara Hui', 'Jessie Li', 'Tu Men', 'Shawn Yue', 'Qiao Shan']",104,Hong Kong,"['Columbia Pictures Film Production Asia', 'Linmon Pictures', 'Tianjin Maoyan Media']",https://cineb.net/movie/watch-monster-run-free-85161
Love in Thoughts,6.9,"A posthumous look at the last days of Guenther's life as he, his best friend, and his sister let loose on a four-day binge of alcohol, drugs, and sex.",2004-02-12,Drama,"['Jana Pallaske', 'Julia Dietze', 'August Diehl', 'Anna Maria Mühe', 'Buddy Elias']",89,Germany,"['ARTE', 'X-Filme Creative Pool', 'ZDF']",https://cineb.net/movie/watch-love-in-thoughts-free-85155
The Gypsy,6.3,"Hugo Sennart is a French Gypsy, wanted by the police for theft. The same inspector who's searching for him is also looking for a jewel thief, Yan Kuq, whose wife has died under suspicious circumstance just after a major burglary. The Gypsy needs to settle a few scores and make one more heist before going to ground, and, by coincidence, his path takes him close to Yan, who's hiding in the hotel of a close friend and former lover, Ninie. The Gypsy lives by a code of honor, which puts him at risk on occasion; and he despises those who treat his people as worse than dogs. The police close in. Is there honor among thieves?",1975-12-05,Crime,"['Michel Fortin', 'Maurice Biraud', 'Paul Meurisse', 'Alain Delon', 'Annie Girardot']",102,France,"['Mondial Televisione Film', 'Lira Films', 'Adel Productions']",https://cineb.net/movie/watch-the-gypsy-free-85152
The Cage,6.3,"The story of a woman who is suddenly visited by her estranged ex-husband. The ex-hubby wants to buy her country house, which she received in the divorce settlement. Instead he finds himself locked in a cage in the cellar.",1975-06-10,Drama,"['Lino Ventura', 'Ingrid Thulin', 'Dominique Zardi', 'Sophie Sam', 'William Sabatier']",100,France,"['UGC', 'Lira Films', 'parma films']",https://cineb.net/movie/watch-the-cage-free-85146
Jane B. by Agnès V.,7.2,"The interests, obsessions, and fantasies of two singular artists converge in this inspired collaboration between Agnès Varda and her longtime friend the actor Jane Birkin. Made over the course of a year and motivated by Birkin’s fortieth birthday—a milestone she admits to some anxiety over—Jane B. by Agnès V. contrasts the private, reflective Birkin with Birkin the icon.",1988-03-02,Documentary,"['Jane Birkin', 'Laura Betti', 'Agnès Varda', 'Philippe Léotard', 'Alain Souchon']",97,France,"['Ciné Tamaris', 'La Sept Cinéma']",https://cineb.net/movie/watch-jane-b-by-agnes-v-free-85143
Outside Satan,6.4,"Along the Côte d'Opale, near a hamlet, with its dunes and marshes, lives a mysterious wanderer from nowhere who struggles along, poaches, prays and builds fires...",2011-10-19,Drama,"['Aurore Broutin', 'David Dewaele', 'Alexandra Lemâtre', 'Christophe Bon', 'Sonia Barthélémy']",110,France,['3b productions'],https://cineb.net/movie/watch-outside-satan-free-85140
Gunda,7.2,"Experiential cinema in its purest form, GUNDA chronicles the unfiltered lives of a mother pig, a flock of chickens, and a herd of cows with masterful intimacy. Using stark, transcendent black and white cinematography and the farm's ambient soundtrack, Master director Victor Kossakowsky invites the audience to slow down and experience life as his subjects do, taking in their world with a magical patience and an other worldly perspective. GUNDA asks us to meditate on the mystery of animal consciousness, and reckon with the role humanity plays in it. Executive produced by Joaquin Phoenix.",2021-04-15,Documentary,[],93,Spain,"['Sant & Usant', 'Louverture Films', 'Artemis Rising', 'The Fritt Ord Foundation', 'Norsk Filminstitutt', 'MEDIA Programme of the European Union', 'Hailstone Films', 'Empathy Arts', 'Storyline Studios']",https://cineb.net/movie/watch-gunda-free-85137
Food on the Go,6.2,The diaspora of millions of Italian emigrants marked a strong nutritional influence of this nation on the American continent. The documentary collects the similarities and differences between the dishes adapted to the American taste and his native Italy.,2017-09-26,Documentary,['Mercedes Cordova'],66,Italy,"['39Films', 'Brava Cine']",https://cineb.net/movie/watch-food-on-the-go-free-85134
First Love: The Litter on the Breeze,6.9,"Faced with the task of creating a film about first love for his producer Wong Kar-wai, Kot ruminates on his creative process, his rejected ideas, and finally his two chosen tales, about a sleepwalker guided through the night by a lonely admirer, and a married convenience store owner faced with the vengeful first love that he once rejected.",1997-12-13,Comedy,"['Karen Mok', 'Takeshi Kaneshiro', 'Eric Kot', 'Vincent Kok', 'Nancy Lan Sai']",99,Hong Kong,"['Jet Tone Production', 'Amuse Pictures', 'Block 2 Pictures']",https://cineb.net/movie/watch-first-love-the-litter-on-the-breeze-free-85131
Fantasm Comes Again,4.4,"Libbie is assigned to her paper's sexual advice column, ""Dear Collete"". She is taking over the job of Harry a crusty old journalist who shows her the pro's and cons of the job while running on a tight deadline to get the column finished for the morning's paper. During the course of the evening they reply to a wide variety of sexual experiences submitted by the readers, some these include, sex in a threesome at a drive-in theatre, sex in a gymnasium, and sex in a library where the ""Silence Please"" sign gives the male librarian an advantage over the female readers.",1977-12-26,Comedy,"['William Margold', 'Uschi Digard', 'Candy Samples', 'Cheryl Smith', ""Helen O'Connell""]",99,Australia,"['Australian International Film Corp. (AIFC)', 'Filmways Australasian Distributors']",https://cineb.net/movie/watch-fantasm-comes-again-free-85128
In All Innocence,6.2,"High-profile lawyer Michel takes on the defence of a young and pretty small-time thief, Cécile, after the botched hold-up of a jewellery shop. As predicted by his elegant art-dealer and sculptress wife Viviane, Michel goes well beyond his brief, jeopardising his career and ruining his marriage of 18 years.",1998-10-06,Drama,"['Guillaume Canet', 'Gérard Lanvin', 'Virginie Ledoyen', 'Carole Bouquet']",98,France,"['Canal+', 'France 2 Cinéma', 'Légende Entreprises']",https://cineb.net/movie/watch-in-all-innocence-free-85125
8½,8,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood.",1963-02-14,Fantasy,"['Marcello Mastroianni', 'Barbara Steele', 'Anouk Aimée', 'Rossella Falk', 'Sandra Milo']",139,France,"['Francinex', 'Cineriz']",https://cineb.net/movie/watch-8-free-85122
